,Expressions,Kulvi,Dogri,Garhwali,Kumaoni,Gaddi,Konkani,Nepali,Kudmali,Bengali,Assamese,Marwari,Punjabi,Oriya,Kashmiri,Marathi,Gujarati,Sindhi,Pahari,Nagpuri,Wagdi,Bajjika,Sanskrit,Panchpargania,Sylheti,Urdu,Halbi,Khortha,Rajbonshi
LP21,Twenty first,ikkiʋɑ̃,ikkimɑ,ikkisʋu,ikkisʋɑ,ikkimɑ,ekvɪsvɛ̃,ekɑisõ,-,-,ɛkʊɪs nɒmbor,ɪkɪsvo,ɪkkɪʋɑ̃,ekəʋɪŋɡsə,əkʰʋuhjəm,ekʋɪsɑʋɑ,ekʋɪšmʊ,ɪkkɪjo,ikmɑ,ekkisʋɑ,ekkisʋo,ekisʋɑ̃,dʋɑʋĩnʃətitəməh/dʋɑʋĩnʃətitəmɑ/dʋɑʋĩnʃətitəməm,ekoisʋɑ̃,-,ikisʋɑ̃,iskisʋɑ̃,ekkisʋɑ,-
LP22,Twenty second,bɑiʋɑ̃,bɑimɑ,bɑisʋu,bɑisʋɑ,bɑimɑ,bɑvɪsvɛ̃,bɑisõ,-,-,bɑɪs nɒmbor,bɑ:ɪsvo,bɑɪʋɑ̃,d̪ʋɑʋɪŋɡsə,žut̪t̪oʋuhjəm,bɑʋɪsɑʋɑ,bɑʋɪšmʊ,bɑʋɪjo,bɑimɑ,bɑisʋɑ,bɑisʋo,bɑisʋɑ̃,trəjodʋɑʋĩnʃətitəməh/trəjodʋɑʋĩnʃətitəmɑ/trəjodʋɑʋĩnʃətitəməm,bɑisʋɑ̃,-,bɑisʋɑ̃,bɑisʋɑ̃,bɑisʋɑ,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ord-NP,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ex-LP1,first man,pɛlɑ mərd/mɑɳu,pɛlɑ bəndɑ,pɛlɑ ɑdim,pehlik ɑdim,pɛlɑ mɑɳu,pəjɔ d̪ɑd̪lɔ,pɛlo mɑnse,mirɑ həɽ,prot̪ʰom  lok,prɒt̪ʰɒm mɑnʊh,pɛlo ɑ:dəmɪ,pɛlɑ ɑd̪mɪ,prət̪ʰəmə purusə,ɡʋəɖnjuk mohinu,pəhɪlɑ mɑnus,pehlo mɑɳəs,peɽo bʰɑɪ,pelɑ ɑdmi,pehlɑ ɑdmi,pelo ɑdmi,pəhilɑ ɑdmi,prətʰəməh puruʂəh,pehlɑ ɑdmi/loɡ,frotom mɑnuʃ,pehlɑ ɑdmi,pəhil mənuk,pehlɑ lok,potʰom mɑnus
ex-LP2,second man,duǰǰɑ mɑɳu,duɑ bəndɑ,dusrɑ ɑdim,dusər ɑdim,duɑ mɑɳu,d̪usrɔ d̪ɑd̪lɔ,dosro mɑnse,-,d̪ɪt̪io lok,drɪtɪɒ mɑnʊh,dʊɟo ɑ:dəmɪ,d̪uǰǰɑ ɑd̪mɪ,d̪ɪt̪ɪje purusə,d̪oɪjəm mohinu,d̪usrɑ  mɑnus,bɪǰo mɑɳəs,bɪjo bʰɑɪ,duɑ ɑdmi,dusrɑ ɑdmi,biǰo ɑdmi,dusrɑ ɑdmi,dʋitijəh puruʂəh,dusrɑ loɡ,ditijo mɑnuʃ,dusrɑ ɑdmi,dusər mənuk,dusrɑ lok,ditio mɑnus
ex-LP3,third man,triǰɑ mɑɳu,trijɑ bədnɑ,tisrɑ ɑdim,tisər ɑdim,trijɑ mɑɳu,t̪ɪsrɔ d̪ɑd̪lɔ,tesro mɑnse,-,t̪rɪt̪io lok,trɪtɪɒ mɑnʊh,tɪɟo ɑ:dəmɪ,t̪ɪǰǰɑ ɑd̪mɪ,t̪rut̪ɪje purusə,t̪reɪjəm mohinu,t̪ɪsrɑ  mɑnus,t̪ɪǰo mɑɳəs,ʈɪo bʰɑɪ,trijɑ ɑdmi,tisrɑ ɑdmi,tisro ɑdmi,tisrɑ ɑdmi,tritijəh puruʂəh,tisrɑ loɡ,tritijo mɑnuʃ,tisrɑ ɑdmi,tisər mənuk,tisrɑ lok,titio mɑnus
ex-LP4,fourth man,čɔutʰɑ mɑɳu,čɔtʰɑ bəndɑ,čɔtʰɑ ɑdim,čɔtʰɑ ɑdim,čotʰɑ mɑɳu,t͡səvt̪ɔ d̪ɑd̪lɔ,tʃɔtʰo mɑnse,-,čot̪urt̪ʰo lok,sotʊrtʰɒ mɑnʊh,čʰot̪ʰo ɑ:dəmɪ,čɔt̪ʰɑ ɑd̪mɪ,čət̪urt̪ʰə purusə,tʃurjem mohinu,čəʊt̪ʰɑ  mɑnus,čɔʊt̪ʰo mɑɳəs,čoʈʰo bʰɑɪ,čotʰɑ ɑdmi,čɔtʰɑ ɑdmi,čɔtʰo ɑdmi,čɔutʰɑ ɑdmi,čəturtʰəh puruʂəh,cɔtʰɑ loɡ,soturtʰo mɑnuʃ,tʃɔtʰɑ ɑdmi,čəʋtʰɑ mənuk,čɔtʰɑ lok,čotutʰo mɑnus
ex-LP5,fifth man,põnǰʋɑ mɑɳu,pənǰmɑ bəndɑ,pɑ̃čʋɑ ɑdim,pəču ɑdim,pəimɑ mɑɳu,pɑ̃t͡svɔ d̪ɑd̪lɔ,pɑ̃tʃo mɑnse,-,pɔnčom lok,pɑ:snɒmbor mɑnʊh,pɑ:nčəro  ɑ:dəmɪ,pənǰʋɑ̃ ɑd̪mɪ,pə̃nčəmə purusə,pũtʃjəm mohinu,pɑ̃nčʋɑ  mɑnus,pɑ̃nčmo mɑɳəs,pənǰo bʰɑɪ,pənǰmɑ ɑdmi,pɑčʋɑ ɑdmi,pɑčʋo ɑdmi,pə̃čmɑ ɑdmi,pə̃nčməh puruʂəh,pɑ̃tʃʋɑ̃ loɡ,foincom mɑnuʃ,pɑ̃tʃʋɑ̃ ɑdmi,pɑ̃čʋɑ̃ mənuk,pɑ̃čʋɑ lok,pončom mɑnus
ex-LP1,first woman,pɛli betɽi,pɛli ǰənɑni,pɛl ɔrət,pehli sɛɳi,pɛli trimt,pəjlɪ bɑjl,pɛli məhilɑ,-,prot̪ʰom  mohɪlɑ,prɒt̪ʰɒm tɪrotɑ,pɛlɪ lʊɡɑɪ,pɛlɪ ɔrət̪,prət̪ʰəmə nɑri/ məhiɭɑ,ɡʋəɖnjuk žəin,pəhɪlɑ məhɪlɑ,pehlɪ st̪rɪ,perɪ mɑɪ,peli ɔrət,pehli ǰəni,peli bəiri,pəhilɑ ɔrət/mɔɡi,prətʰmɑ məhilɑ,pehlɑ beʈičʰuɑ,frotom mejemɑnuʃ,pehli ɔrət,pəhil mehrɑr,pehli ǰəni,potʰom mohilɑ
ex-LP2,second woman,duǰǰI betɽi,dui ǰənɑni,dusər ɔrət,dusri sɛɳi,doi trimt,d̪usrɪ bɑjl,dusri məhilɑ,-,d̪ɪt̪io mohɪlɑ,drɪtɪɒ tɪrotɑ,dʊɟo lʊɡɑɪ,d̪uǰǰɪ ɔrət̪,d̪ɪt̪ɪje nɑrɪ,d̪oɪjəm žəin,d̪usrɑ məhɪlɑ,bɪǰɪ st̪rɪ,bɪ mɑɪ,dui ɔrət,dusri ǰəni,biǰi bəiri,dusrɑ ɔrət,dʋitijɑ məhilɑ,dusrɑ beʈičʰuɑ,ditijo mejemɑnuʃ,dusri ɔrət,dusər mehrɑr,dusri ǰəni,ditio mohilɑ
ex-LP3,third woman,triǰǰi betɽi,tri ǰənɑni,tisri ɔrət,tisər sɛɳi,trɛ trimt,t̪ɪsrɪ bɑjl,tisri məhilɑ,-,t̪rɪt̪io mohɪlɑ,trɪtɪɒ tɪrotɑ,tɪɟo lʊɡɑɪ,t̪ɪǰǰɪ ɔrət̪,t̪rut̪ɪje nɑrɪ,t̪reɪjəm žəin,t̪ɪsrɑ məhɪlɑ,t̪ɪǰɪ st̪rɪ,ʈrɪ mɑɪ,tri ɔrət,tisri ǰəni,tisri bəiri,tisrɑ ɔrət,tritijɑ məhilɑ,tisrɑ beʈičʰuɑ,tritijo mejemɑnuʃ,tisri ɔrət,tisər mehrɑr,tisri ǰəni,titio mohilɑ
